eventcode,time,year,mag,location,HaggLQ,ExpPopLQ,Dam_Code,Kate added recently?,PH_LQ,QH_LQ,PE_LQ,QE_LQ,Buildings,Transportation,Utilities,Buildings_Cost,Transportation_Cost,Utilities_Cost,Total_Cost,American?
usb000iivv,7/21/13,2013,6.5,"46km ESE of Blenheim, New Zealand",9.5,520,1,,9.4892,66.8112,5.0732,49.5147,,,,0,0,0,0,0
usb000ije3,7/21/13,2013,5.9,"13km E of Chabu, China",0.0029,4,1,,10.9719,947.5952,3.264,261.7707,,,,0,0,0,0,0
usb000j4iz,8/16/13,2013,6.5,"29km SE of Blenheim, New Zealand",18,1300,1,,13.6004,117.2636,4.7948,33.4033,,,,0,0,0,0,0
usb000m4i4,1/20/14,2014,6.1,"35km NNE of Masterton, New Zealand",37,4500,1,,63.2126,969.926,13.6758,204.7002,,,,0,0,0,0,0
usb000m8ch,1/26/14,2014,6.1,"1km ENE of Lixourion, Greece",0.71,35,1,,19.3777,183.8553,2.3929,74.5118,,,,0,0,0,0,0
usb000rzmg,8/3/14,2014,6.2,"11km W of Wenping, China",0.23,150,1,,9.4519,417.5561,11.2247,562.1485,,,,0,0,0,0,0
usb000s27f,8/12/14,2014,5.1,"22km WSW of Cayambe, Ecuador",0,0,1,,0,0,0,0,,,,0,0,0,0,0
usc000nzvd,4/1/14,2014,8.2,"94km NW of Iquique, Chile",61,230,1,,43.0155,655.6256,23.7097,782.299,,,,0,0,0,0,0
usc000tbve,1/5/15,2015,5.6,"43km SSE of Hokitika, New Zealand",0.21,0,1,,2.2188,67.0478,2.5143,135.033,,,,0,0,0,0,0
ushis2396,8/18/59,1959,7.3,"Hebgen Lake, Wyoming Earthquake",63,190,1,,407.7826,5362.4027,15.5221,189.5346,,,,0,0,0,0,1
usp0000ad8,3/28/75,1975,6.1,southern Idaho,6.4,4,1,1,18.1082,352.0663,12.6595,444.1244,0,0,0,0,0,0,0,1
usp0000ex3,2/4/76,1976,7.5,Guatemala,1200,130000,1,,796.9992,1917.6049,485.1007,2842.1416,,,,0,0,0,0,0
usp0000g5v,5/6/76,1976,6.5,Austria-Italy-Slovenia border region,110,29000,1,,77.9244,664.3529,96.5671,957.9477,,,,0,0,0,0,0
usp0000h1p,6/25/76,1976,7.1,"Papua, Indonesia",330,1500,1,,33.6686,115.4301,39.201,138.1788,,,,0,0,0,0,0
usp0000h9g,7/11/76,1976,7,Panama,69,240,1,,158.1721,483.1418,19.6684,27.1141,,,,0,0,0,0,0
usp0000nh4,4/21/77,1977,7.5,Solomon Islands,170,8600,1,,87.7636,171.8624,87.6839,145.5378,,,,0,0,0,0,0
usp0000sge,1/14/78,1978,6.6,"near the south coast of Honshu, Japan",15,31000,1,,80.9986,311.5781,32.0539,147.1537,,,,0,0,0,0,0
usp0000v0f,6/12/78,1978,7.7,"near the east coast of Honshu, Japan",300,180000,1,,193.1287,863.1635,70.7174,374.2926,,,,0,0,0,0,0
usp000155j,1/24/80,1980,5.8,"San Francisco Bay area, California",8.9,1300,1,,466.9094,14434.5321,140.3715,7261.4594,,,,0,0,0,0,1
usp0001vmy,5/26/83,1983,7.4,"near the west coast of Honshu, Japan",95,31000,1,,74.9904,238.2992,31.2689,101.5012,,,,0,0,0,0,0
usp0001zbv,10/28/83,1983,6.9,southern Idaho,23,56,1,1,1155.9395,24111.901,82.4939,2834.6505,0,0,0,0,0,0,0,1
